Date,Calib.Date,Time,Tank,Treatment,Type,Temperature,pH.MV,Salinity,Conductivity,Notes,,,
20190522,20190520, 13:45, Tank 4, Ambient,Treatment,28.06,NA,NA,NA,,,,
20190522,20190520, 13:46, Tank 5, Heat,Treatment,30.36,NA,NA,NA,,,,
20190522,20190520, 13:47, Tank 6, Ambient,Treatment,28.12,NA,NA,NA,,,,
20190522,20190520, 13:42, Tank 1, Ambient,Treatment,27.84,NA,NA,NA,,,,
20190522,20190520, 15:39, Tank 2, Heat,Treatment,29.77,NA,NA,NA,,,,
20190522,20190520, 15:40, Tank 3, Heat,Treatment,30.40,NA,NA,NA,,,,
20190522,20190520, 15:41, Tank 4, Ambient,Treatment,27.87,NA,NA,NA,,,,
20190522,20190520, 15:42, Tank 5, Heat,Treatment,30.24,NA,NA,NA,,,,
20190522,20190520, 15:43, Tank 6, Ambient,Treatment,27.92,NA,NA,NA,,,,
20190523,20190520, 10:40, Tank 1, Ambient,Treatment,27.64,-60.7,33.75,58.72,Got R^2 value of .981,,,
20190523,20190520, 10:41, Tank 2, Heat,Treatment,29.71,-62.5,34.38,59.68,Got R^2 value of .981,,,
20190523,20190520, 10:42, Tank 3, Heat,Treatment,30.24,-61.6,34.43,59.69,Got R^2 value of .981,,,
20190523,20190520, 10:43, Tank 4, Ambient,Treatment,27.65,-61.5,33.72,58.58,Got R^2 value of .981,,,
20190523,20190520, 10:44, Tank 5, Heat,Treatment,30.10,-62.9,34.44,59.63,Got R^2 value of .981,,,
20190523,20190520, 10:45, Tank 6, Ambient,Treatment,27.70,-61.7,33.75,58.65,Got R^2 value of .981,,,
20190523,20190520, 14:54, Tank 1, Ambient,Treatment,28.08,NA,NA,NA,,,,
20190523,20190520, 14:55, Tank 2, Heat,Treatment,30.60,NA,NA,NA,,,,
20190523,20190520, 14:56, Tank 3, Heat,Treatment,30.52,NA,NA,NA,,,,
20190523,20190520, 14:57, Tank 4, Ambient,Treatment,28.11,NA,NA,NA,,,,
20190523,20190520, 14:58, Tank 5, Heat,Treatment,30.40,NA,NA,NA,,,,
20190523,20190520, 14:59, Tank 6, Ambient,Treatment,28.17,NA,NA,NA,,,,
20190524,20190520, 9:14, Tank 1, Ambient,Treatment,27.43,-60.6,35.19,NA,Got R^2 value of .981,,,
20190524,20190520, 9:15, Tank 2, Heat,Treatment,30.24,-59.7,35.64,NA,Got R^2 value of .981,,,
20190524,20190520, 9:15, Tank 3, Heat,Treatment,30.27,-59.4,35.73,NA,Got R^2 value of .981,,,
20190524,20190520, 9:16, Tank 4, Ambient,Treatment,27.53,-60.3,35.16,NA,Got R^2 value of .981,,,
20190524,20190520, 9:17, Tank 5, Heat,Treatment,30.04,-60.0,35.69,NA,Got R^2 value of .981,,,
20190524,20190520, 9:18, Tank 6, Ambient,Treatment,27.54,-59.5,35.17,NA,Got R^2 value of .981,,,
20190524,20190520, 13:30, Tank 1, Ambient,Treatment,27.76,NA,NA,NA,,,,
20190524,20190520, 13:31, Tank 2, Heat,Treatment,30.15,NA,NA,NA,,,,
20190524,20190520, 13:32, Tank 3, Heat,Treatment,29.10,NA,NA,NA,,,,
20190524,20190520, 13:32, Tank 4, Ambient,Treatment,27.86,NA,NA,NA,,,,
20190524,20190520, 13:33, Tank 5, Heat,Treatment,30.19,NA,NA,NA,,,,
20190524,20190520, 13:34, Tank 6, Ambient,Treatment,27.87,NA,NA,NA,,,,
20190524,20190520, 18:21, Tank 1, Ambient,Treatment,27.75,NA,NA,NA,,,,
20190524,20190520, 18:23, Tank 2, Heat,Treatment,30.07,NA,NA,NA,,,,
20190524,20190520, 18:24, Tank 3, Heat,Treatment,30.30,NA,NA,NA,,,,
20190524,20190520, 18:25, Tank 4, Ambient,Treatment,27.87,NA,NA,NA,,,,
20190524,20190520, 18:26, Tank 5, Heat,Treatment,30.20,NA,NA,NA,,,,
20190524,20190520, 18:27, Tank 6, Ambient,Treatment,27.87,NA,NA,NA,,,,
20190525,20190520, 9:42, Tank 1, Ambient,Treatment,27.42,-60.6,34.17,NA,Got R^2 value of .981,,,
20190525,20190520, 9:45, Tank 2, Heat,Treatment,30.14,-61.8,34.75,NA,Got R^2 value of .981,,,
20190525,20190520, 9:46, Tank 3, Heat,Treatment,30.32,-62.0,35.73,NA,Got R^2 value of .981,,,
20190525,20190520, 9:47, Tank 4, Ambient,Treatment,27.49,-61.5,34.13,NA,Got R^2 value of .981,,,
20190525,20190520, 9:48, Tank 5, Heat,Treatment,30.02,-61.9,34.65,NA,Got R^2 value of .981,,,
20190525,20190520, 9:49, Tank 6, Ambient,Treatment,27.50,-60.6,34.15,NA,Got R^2 value of .981,,,
20190525,20190520, 19:33, Tank 1, Ambient,Treatment,27.62,NA,NA,NA,,,,
20190525,20190520, 19:34, Tank 2, Heat,Treatment,30.03,NA,NA,NA,,,,
20190525,20190520, 19:35, Tank 3, Heat,Treatment,30.16,NA,NA,NA,,,,
20190525,20190520, 19:36, Tank 4, Ambient,Treatment,27.73,NA,NA,NA,,,,
20190525,20190520, 19:36, Tank 5, Heat,Treatment,30.10,NA,NA,NA,,,,
20190525,20190520, 19:37, Tank 6, Ambient,Treatment,27.73,NA,NA,NA,,,,
20190526,20190520, 7:35, Tank 1, Ambient,Treatment,27.12,-57.6,34.64,NA,Got R^2 value of .981 - values today seemed weird for the pH and I recalibrated standards for both conductivity/salinity and pH and despite letting the probes sit in each tank for ~5 minutes and taking the readings three different times the values always came out to the same readings,,,
20190526,20190520, 7:36, Tank 2, Heat,Treatment,29.78,-56.7,35.07,NA,Got R^2 value of .981,,,
20190526,20190520, 7:37, Tank 3, Heat,Treatment,29.71,-56.6,35.08,NA,Got R^2 value of .981,,,
20190526,20190520, 7:38, Tank 4, Ambient,Treatment,27.27,-57.3,34.60,NA,Got R^2 value of .981,,,
20190526,20190520, 7:40, Tank 5, Heat,Treatment,29.93,-56.6,35.14,NA,Got R^2 value of .981,,,
20190526,20190520, 7:41, Tank 6, Ambient,Treatment,27.30,-59.0,34.15,NA,Got R^2 value of .981,,,
20190526,20190520, 19:08, Tank 1, Ambient,Treatment,27.54,NA,NA,NA,,,,
20190526,20190520, 19:10, Tank 2, Heat,Treatment,29.98,NA,NA,NA,,,,
20190526,20190520, 19:12, Tank 3, Heat,Treatment,30.07,NA,NA,NA,,,,
20190526,20190520, 19:13, Tank 4, Ambient,Treatment,27.67,NA,NA,NA,,,,
20190526,20190520, 19:15, Tank 5, Heat,Treatment,30.20,NA,NA,NA,,,,
20190526,20190520, 19:16, Tank 6, Ambient,Treatment,27.68,NA,NA,NA,,,,
20190527,20190527, 11:35, Tank 1, Ambient,Treatment,27.64,-61.8,34.51,NA,Got R^2 value of .980 - values today seemed weird for the pH and I recalibrated standards for both conductivity/salinity and pH before taking data,,,
20190527,20190527, 11:36, Tank 2, Heat,Treatment,30.18,-62.5,35.00,NA,Got R^2 value of .980,,,
20190527,20190527, 11:37, Tank 3, Heat,Treatment,29.86,-62.1,34.88,NA,Got R^2 value of .980,,,
20190527,20190527, 11:38, Tank 4, Ambient,Treatment,27.81,-61.8,34.50,NA,Got R^2 value of .980,,,
20190527,20190527, 11:40, Tank 5, Heat,Treatment,30.48,-62.3,34.98,NA,Got R^2 value of .980,,,
20190527,20190527, 11:41, Tank 6, Ambient,Treatment,27.77,-61.5,34.51,NA,Got R^2 value of .980,,,
20190527,20190527, 21:23, Tank 1, Ambient,Treatment,27.60,NA,NA,NA,,,,
20190527,20190527, 21:24, Tank 2, Heat,Treatment,30.27,NA,NA,NA,,,,
20190527,20190527, 21:25, Tank 3, Heat,Treatment,29.82,NA,NA,NA,,,,
20190527,20190527, 21:26, Tank 4, Ambient,Treatment,27.68,NA,NA,NA,,,,
20190527,20190527, 21:27, Tank 5, Heat,Treatment,30.26,NA,NA,NA,,,,
20190527,20190527, 21:28, Tank 6, Ambient,Treatment,27.69,NA,NA,NA,,,,
20190528,20190527, 10:00, Tank 1, Ambient,Treatment,27.44,-61.1,34.16,NA,Got R^2 value of .980 - values today seemed weird for the salinity and I recalibrated standards for both conductivity/salinity and measurements the second time around were much more normal,,,
20190528,20190527, 10:01, Tank 2, Heat,Treatment,30.18,-61.8,34.48,NA,Got R^2 value of .980,,,
20190528,20190527, 10:02, Tank 3, Heat,Treatment,29.67,-61.1,34.40,NA,Got R^2 value of .980,,,
20190528,20190527, 10:03, Tank 4, Ambient,Treatment,27.56,-62.1,34.10,NA,Got R^2 value of .980,,,
20190528,20190527, 10:04, Tank 5, Heat,Treatment,30.14,-61.6,34.45,NA,Got R^2 value of .980,,,
20190528,20190527, 10:05, Tank 6, Ambient,Treatment,27.57,-61.7,34.13,NA,Got R^2 value of .980,,,
20190528,20190527, 13:44, Tank 1, Ambient,Treatment,27.78,NA,NA,NA,,,,
20190528,20190527, 13:45, Tank 2, Heat,Treatment,30.42,NA,NA,NA,,,,
20190528,20190527, 13:46, Tank 3, Heat,Treatment,30.76,NA,NA,NA,,,,
20190528,20190527, 13:46, Tank 4, Ambient,Treatment,27.93,NA,NA,NA,,,,
20190528,20190527, 13:47, Tank 5, Heat,Treatment,30.36,NA,NA,NA,,,,
20190528,20190527, 13:48, Tank 6, Ambient,Treatment,27.98,NA,NA,NA,,,,
20190528,20190527, 17:49, Tank 1, Ambient,Treatment,27.73,NA,NA,NA,,,,
20190528,20190527, 17:50, Tank 2, Heat,Treatment,29.65,NA,NA,NA,,,,
20190528,20190527, 17:51, Tank 3, Heat,Treatment,30.18,NA,NA,NA,,,,
20190528,20190527, 17:52, Tank 4, Ambient,Treatment,27.78,NA,NA,NA,,,,
20190528,20190527, 17:54, Tank 5, Heat,Treatment,30.59,NA,NA,NA,,,,
20190528,20190527, 17:55, Tank 6, Ambient,Treatment,27.83,NA,NA,NA,,,,
20190529,20190527, 10:53, Tank 1, Ambient,Treatment,27.93,-63.8,34.31,NA,Got R^2 value of .980,,,
20190529,20190527, 10:54, Tank 2, Heat,Treatment,30.84,-63.7,34.70,NA,Got R^2 value of .980,,,
20190529,20190527, 10:54, Tank 3, Heat,Treatment,30.18,-59.9,34.54,NA,Got R^2 value of .980,,,
20190529,20190527, 10:55, Tank 4, Ambient,Treatment,27.92,-59.9,34.28,NA,Got R^2 value of .980,,,
20190529,20190527, 10:56, Tank 5, Heat,Treatment,30.19,-61.5,34.59,NA,Got R^2 value of .980,,,
20190529,20190527, 10:57, Tank 6, Ambient,Treatment,27.96,-60.2,34.26,NA,Got R^2 value of .980,,,
20190529,20190527, 13:40, Tank 1, Ambient,Treatment,28.27,NA,NA,NA,,,,
20190529,20190527, 13:41, Tank 2, Heat,Treatment,30.34,NA,NA,NA,,,,
20190529,20190527, 13:42, Tank 3, Heat,Treatment,30.67,NA,NA,NA,,,,
20190529,20190527, 13:43, Tank 4, Ambient,Treatment,28.44,NA,NA,NA,,,,
20190529,20190527, 13:44, Tank 5, Heat,Treatment,30.40,NA,NA,NA,,,,
20190529,20190527, 13:45, Tank 6, Ambient,Treatment,28.40,NA,NA,NA,,,,
20190529,20190527, 19:34, Tank 1, Ambient,Treatment,27.84,NA,NA,NA,,,,
20190529,20190527, 19:34, Tank 2, Heat,Treatment,30.20,NA,NA,NA,,,,
20190529,20190527, 19:35, Tank 3, Heat,Treatment,30.51,NA,NA,NA,,,,
20190529,20190527, 19:36, Tank 4, Ambient,Treatment,27.91,NA,NA,NA,,,,
20190529,20190527, 19:36, Tank 5, Heat,Treatment,30.18,NA,NA,NA,,,,
20190529,20190527, 19:37, Tank 6, Ambient,Treatment,27.94,NA,NA,NA,,,,
20190530,20190527, 8:04, Tank 1, Ambient,Treatment,27.27,-60.3,34.91,NA,Got R^2 value of .980,,,
20190530,20190527, 8:05, Tank 2, Heat,Treatment,30.04,-59.1,35.19,NA,Got R^2 value of .980,,,
20190530,20190527, 8:05, Tank 3, Heat,Treatment,30.31,-59.6,35.23,NA,Got R^2 value of .980,,,
20190530,20190527, 8:06, Tank 4, Ambient,Treatment,27.60,-61.7,34.90,NA,Got R^2 value of .980,,,
20190530,20190527, 8:08, Tank 5, Heat,Treatment,30.13,-61.2,35.17,NA,Got R^2 value of .980,,,
20190530,20190527, 8:09, Tank 6, Ambient,Treatment,27.66,-62.3,34.90,NA,Got R^2 value of .980,,,
20190530,20190527, 13:12, Tank 1, Ambient,Treatment,28.14,NA,NA,NA,,,,
20190530,20190527, 13:13, Tank 2, Heat,Treatment,30.35,NA,NA,NA,,,,
20190530,20190527, 13:15, Tank 3, Heat,Treatment,30.54,NA,NA,NA,,,,
20190530,20190527, 13:15, Tank 4, Ambient,Treatment,28.24,NA,NA,NA,,,,
20190530,20190527, 13:17, Tank 5, Heat,Treatment,30.28,NA,NA,NA,,,,
20190530,20190527, 13:17, Tank 6, Ambient,Treatment,28.25,NA,NA,NA,,,,
20190530,20190527, 18:12, Tank 1, Ambient,Treatment,28.09,NA,NA,NA,,,,
20190530,20190527, 18:13, Tank 2, Heat,Treatment,30.28,NA,NA,NA,,,,
20190530,20190527, 18:14, Tank 3, Heat,Treatment,30.49,NA,NA,NA,,,,
20190530,20190527, 18:15, Tank 4, Ambient,Treatment,28.16,NA,NA,NA,,,,
20190530,20190527, 18:17, Tank 5, Heat,Treatment,30.26,NA,NA,NA,,,,
20190530,20190527, 18:17, Tank 6, Ambient,Treatment,28.16,NA,NA,NA,,,,
20190531,20190527, 15:03, Tank 1, Ambient,Treatment,27.94,-61.7,34.08,NA,Got R^2 value of .980,,,
20190531,20190527, 15:04, Tank 2, Heat,Treatment,30.23,-60.0,34.30,NA,Got R^2 value of .980,,,
20190531,20190527, 15:05, Tank 3, Heat,Treatment,30.60,-60.1,34.29,NA,Got R^2 value of .980,,,
20190531,20190527, 15:06, Tank 4, Ambient,Treatment,27.95,-61.0,34.01,NA,Got R^2 value of .980,,,
20190531,20190527, 15:07, Tank 5, Heat,Treatment,29.90,-59.4,34.27,NA,Got R^2 value of .980,,,
20190531,20190527, 15:08, Tank 6, Ambient,Treatment,27.98,-61.8,34.40,NA,Got R^2 value of .980,,,
20190601,20190601, 9:00, Tank 1, Ambient,Treatment,27.53,-60.1,34.24,NA,Got R^2 value of 1.000,,,
20190601,20190601, 9:02, Tank 2, Ambient,Treatment,30.19,-58.5,34.39,NA,Got R^2 value of 1.000,,,
20190601,20190601, 9:03, Tank 3, Ambient,Treatment,30.68,-58.4,34.44,NA,Got R^2 value of 1.000,,,
20190601,20190601, 9:04, Tank 4, Ambient,Treatment,27.52,-59.2,34.23,NA,Got R^2 value of 1.000,,,
20190601,20190601, 9:05, Tank 5, Ambient,Treatment,29.93,-57.2,34.39,NA,Got R^2 value of 1.000,,,
20190601,20190601, 9:06, Tank 6, Ambient,Treatment,27.53,-60.3,34.24,NA,Got R^2 value of 1.000,,,
20190602,20190601, 14:56, Tank 1, Ambient,Treatment,28.15,-67.1,34.47,NA,Got R^2 value of 1.000,Tried soaking the probe for awhile before taking measurements and then even recalibrated the pH probes after taking the values which seemed very high but none of the values changed,,
20190602,20190601, 14:57, Tank 2, Ambient,Treatment,30.54,-63.7,34.58,NA,Got R^2 value of 1.000,,,
20190602,20190601, 14:58, Tank 3, Ambient,Treatment,30.93,-65.1,34.61,NA,Got R^2 value of 1.000,,,
20190602,20190601, 14:59, Tank 4, Ambient,Treatment,28.13,-65.3,34.38,NA,Got R^2 value of 1.000,,,
20190602,20190601, 15:00, Tank 5, Ambient,Treatment,30.25,-60.1,34.55,NA,Got R^2 value of 1.000,,,
20190602,20190601, 15:02, Tank 6, Ambient,Treatment,28.15,-63.8,34.40,NA,Got R^2 value of 1.000,,,
20190603,20190601, 9:08, Tank 1, Ambient,Treatment,27.24,-61.5,34.24,NA,Got R^2 value of 1.000,Calibrated both probes today before soaking/taking measurements,,
20190603,20190601, 9:09, Tank 2, Ambient,Treatment,30.27,-61.1,34.41,NA,Got R^2 value of 1.000,,,
20190603,20190601, 9:10, Tank 3, Ambient,Treatment,30.44,-59.6,34.35,NA,Got R^2 value of 1.000,,,
20190603,20190601, 9:11, Tank 4, Ambient,Treatment,27.48,-61.5,34.19,NA,Got R^2 value of 1.000,,,
20190603,20190601, 9:12, Tank 5, Ambient,Treatment,30.52,-59.2,34.42,NA,Got R^2 value of 1.000,,,
20190603,20190601, 9:13, Tank 6, Ambient,Treatment,27.48,-61.1,34.19,NA,Got R^2 value of 1.000,,,
20190603,20190601, 13:53, Tank 1, Ambient,Treatment,27.64,NA,NA,NA,,,,
20190603,20190601, 13:54, Tank 2, Heat,Treatment,30.38,NA,NA,NA,,,,
20190603,20190601, 13:55, Tank 3, Heat,Treatment,30.09,NA,NA,NA,,,,
20190603,20190601, 13:56, Tank 4, Ambient,Treatment,27.64,NA,NA,NA,,,,
20190603,20190601, 13:57, Tank 5, Heat,Treatment,30.10,NA,NA,NA,,,,
20190603,20190601, 13:58, Tank 6, Ambient,Treatment,27.67,NA,NA,NA,,,,
20190604,20190601, 9:00, Tank 1, Ambient,Treatment,27.06,-61.1,34.30,NA,Got R^2 value of 1.000,,,
20190604,20190601, 9:01, Tank 2, Ambient,Treatment,30.63,-61.0,34.54,NA,Got R^2 value of 1.000,,,
20190604,20190601, 9:02, Tank 3, Ambient,Treatment,30.47,-60.8,34.48,NA,Got R^2 value of 1.000,,,
20190604,20190601, 9:03, Tank 4, Ambient,Treatment,27.12,-62.7,34.25,NA,Got R^2 value of 1.000,,,
20190604,20190601, 9:04, Tank 5, Ambient,Treatment,30.05,-59.7,34.51,NA,Got R^2 value of 1.000,,,
20190604,20190601, 9:05, Tank 6, Ambient,Treatment,27.11,-61.4,34.19,NA,Got R^2 value of 1.000,,,
20190605,20190605, 8:44, Tank 1, Ambient,Treatment,27.21,-60.5,34.25,NA,Got R^2 value of 1.000,,,
20190605,20190605, 8:46, Tank 2, Ambient,Treatment,30.40,-57.5,34.44,NA,Got R^2 value of 1.000,,,
20190605,20190605, 8:46, Tank 3, Ambient,Treatment,30.90,-58.7,34.42,NA,Got R^2 value of 1.000,,,
20190605,20190605, 8:47, Tank 4, Ambient,Treatment,27.26,-60.1,34.23,NA,Got R^2 value of 1.000,,,
20190605,20190605, 8:48, Tank 5, Ambient,Treatment,30.55,-58.4,34.50,NA,Got R^2 value of 1.000,,,
20190605,20190605, 8:49, Tank 6, Ambient,Treatment,27.27,-58.0,34.23,NA,Got R^2 value of 1.000,,,
20190606,20190605, 8:52, Tank 1, Ambient,Treatment,26.99,-59.9,34.29,NA,Got R^2 value of 1.000,,,
20190606,20190605, 8:55, Tank 2, Ambient,Treatment,30.34,-58.6,34.46,NA,Got R^2 value of 1.000,,,
20190606,20190605, 8:56, Tank 3, Ambient,Treatment,29.97,-58.0,34.47,NA,Got R^2 value of 1.000,,,
20190606,20190605, 8:57, Tank 4, Ambient,Treatment,26.99,-59.7,34.29,NA,Got R^2 value of 1.000,,,
20190606,20190605, 8:58, Tank 5, Ambient,Treatment,30.28,-58.4,34.48,NA,Got R^2 value of 1.000,,,
20190606,20190605, 8:59, Tank 6, Ambient,Treatment,27.01,-58.3,34.29,NA,Got R^2 value of 1.000,,,
20190607,20190605, 9:49, Tank 1, Ambient,Treatment,27.65,-62.6,34.29,NA,Got R^2 value of 1.000,,,
20190607,20190605, 9:50, Tank 2, Ambient,Treatment,30.56,-61.0,34.45,NA,Got R^2 value of 1.000,,,
20190607,20190605, 9:51, Tank 3, Ambient,Treatment,30.23,-59.7,34.42,NA,Got R^2 value of 1.000,,,
20190607,20190605, 9:51, Tank 4, Ambient,Treatment,27.55,-62.5,34.26,NA,Got R^2 value of 1.000,,,
20190607,20190605, 9:53, Tank 5, Ambient,Treatment,30.57,-61.5,34.45,NA,Got R^2 value of 1.000,,,
20190607,20190605, 9:54, Tank 6, Ambient,Treatment,27.51,-60.5,34.26,NA,Got R^2 value of 1.000,,,
