Date, Tank,Time.sec, Volume.ml, Trial, Rate
5.13.19, 1, 3, 435, 1, 145.00
5.13.19, 1, 3, 260, 2, 86.67
5.13.19, 2, 3, 265, 1, 88.33
5.13.19, 3, 3, 240, 1, 80.00
5.13.19, 4, 3, 140, 1, 46.67
5.13.19, 4, 3, 280, 2, 93.33
5.13.19, 4, 3, 240, 3, 80.00
5.13.19, 5, 3, 140, 1, 86.67
5.13.19, 5, 3, 240, 2, 80.00
5.13.19, 6, 3, 255, 1, 85.00
5.14.19, 1, 3, 230, 1, 76.67
5.14.19, 2, 3, 145, 1, 48.33
5.14.19, 2, 3, 365, 2, 121.67
5.14.19, 2, 3, 240, 3, 80.00
5.14.19, 3, 3, 200, 1, 66.67
5.14.19, 3, 3, 230, 2, 76.67
5.14.19, 4, 3, 205, 1, 68.33
5.14.19, 4, 3, 275, 2, 91.67
5.14.19, 4, 3, 250, 3, 83.33
5.14.19, 5, 3, 255, 1, 85.00
5.14.19, 6, 3, 295, 1, 98.33
5.14.19, 6, 3, 240, 2, 80.00
5.15.19, 1, 3, 215, 1, 71.67
5.15.19, 2, 3, 190, 1, 63.33
5.15.19, 2, 3, 210, 2, 70.00
5.15.19, 3, 3, 220, 1, 73.33
5.15.19, 4, 3, 250, 1, 83.35
5.15.19, 4, 3, 200, 2, 66.67
5.15.19, 5, 3, 225, 1, 75.00
5.15.19, 6, 3, 220, 1, 73.33
5.16.19, 1, 3, 130, 1, 43.33
5.16.19, 1, 3, 250, 2, 83.33
5.16.19, 2, 3, 235, 1, 78.33
5.16.19, 3, 3, 235, 1, 78.33
5.16.19, 4, 3, 175, 1, 58.33
5.16.19, 4, 3, 240, 2, 80.00
5.16.19, 5, 3, 250, 1, 83.33
5.16.19, 6, 3, 215, 1, 71.67
5.16.19, 6, 3, 240, 2, 80.00
5.17.19, 1, 3, 260, 1, 86.67
5.17.19, 1, 3, 210, 2, 70.00
5.17.19, 2, 3, 225, 1, 75.00
5.17.19, 2, 3, 190, 2, 63.33
5.17.19, 3, 3, 180, 1, 60.00
5.17.19, 4, 3, 270, 1, 90.00
5.17.19, 4, 3, 200, 2, 66.67
5.17.19, 5, 3, 200, 1, 66.67
5.17.19, 6, 3, 245, 1, 81.67
5.17.19, 6, 3, 195, 2, 65.00
5.17.19, 1, 3, 140, 3, 46.67
5.17.19, 2, 3, 110, 3, 36.67
5.17.19, 2, 3, 120, 4, 40.00
5.17.19, 3, 3, 140, 2, 46.67
5.17.19, 4, 3, 140, 3, 46.67
5.17.19, 5, 3, 165, 2, 55.00
5.17.19, 5, 3, 140, 3, 46.67
5.17.19, 6, 3, 190, 3, 63.33
5.17.19, 6, 3, 170, 4, 56.67
5.17.19, 6, 3, 125, 5, 41.67
5.18.19, 1, 3, 140, 1, 46.67
5.18.19, 2, 3, 145, 1, 48.33
5.18.19, 3, 3, 160, 1, 53.33
5.18.19, 4, 3, 170, 1, 56.67
5.18.19, 4, 3, 140, 2, 46.67
5.18.19, 5, 3, 140, 1, 46.67
5.18.19, 6, 3, 170, 1, 56.67
5.18.19, 6, 3, 155, 2, 51.67
5.18.19, 6, 3, 140, 3, 46.67
5.19.19, 1, 3, 140, 1, 46.67
5.19.19, 2, 3, 160, 1, 53.33
5.19.19, 3, 3, 180, 1, 60.00
5.19.19, 3, 3, 140, 2, 46.67
5.19.19, 3, 3, 155, 3, 51.67
5.19.19, 4, 3, 140, 1, 46.67
5.19.19, 5, 3, 160, 1, 53.33
5.19.19, 6, 3, 170, 1, 56.67
5.20.19, 1, 3, 150, 1, 50.00
5.20.19, 2, 3, 155, 1, 51.67
5.20.19, 3, 3, 150, 1, 50.00
5.20.19, 4, 3, 140, 1, 46.67
5.20.19, 5, 3, 170, 1, 56.67
5.20.19, 5, 3, 150, 2, 50.00
5.20.19, 6, 3, 155, 1, 51.67
5.21.19, 1, 3, 135, 1, 45.00
5.21.19, 1, 3, 145, 2, 48.33
5.21.19, 1, 3, 125, 3, 41.67
5.21.19, 2, 3, 130, 3, 43.33
5.21.19, 3, 3, 120, 1, 40.00
5.21.19, 4, 3, 130, 1, 43.33
5.21.19, 5, 3, 130, 1, 43.33
5.21.19, 6, 3, 120, 1, 40.00
5.22.19, 1, 3, 215, 1, 71.67
5.22.19, 1, 3, 150, 2, 50.00
5.22.19, 2, 3, 135, 1, 45.00
5.22.19, 3, 3, 130, 1, 43.33
5.22.19, 4, 3, 150, 1, 50.00
5.22.19, 5, 3, 120, 1, 40.00
5.22.19, 6, 3, 120, 1, 40.00
5.23.19, 1, 3, 120, 1, 40.00
5.23.19, 2, 3, 140, 1, 46.67
5.23.19, 3, 3, 110, 1, 36.67
5.23.19, 4, 3, 195, 1, 65.00
5.23.19, 4, 3, 140, 2, 46.67
5.23.19, 5, 3, 110, 1, 36.67
5.23.19, 6, 3, 110, 1, 36.67
5.24.19, 1, 3, 145, 1, 48.33
5.24.19, 2, 3, 90, 1, 30.00
5.24.19, 2, 3, 150, 2, 50.00
5.24.19, 3, 3, 110, 1, 36.67
5.24.19, 3, 3, 140, 2, 46.67
5.24.19, 4, 3, 140, 1, 46.67
5.24.19, 5, 3, 100, 1, 33.33
5.24.19, 5, 3, 200, 2, 66.67
5.24.19, 5, 3, 135, 3, 45.00
5.24.19, 6, 3, 100, 1, 33.33
5.24.19, 6, 3, 145, 2, 48.33
5.25.19, 1, 3, 130, 1, 43.33
5.25.19, 2, 3, 100, 1, 33.33
5.25.19, 3, 3, 95, 1, 31.67
5.25.19, 3, 3, 140, 2, 46.67
5.25.19, 4, 3, 150, 1, 50.00
5.25.19, 5, 3, 115, 1, 38.33
5.25.19, 6, 3, 140, 1, 46.67
5.26.19, 1, 3, 110, 1, 36.67
5.26.19, 2, 3, 105, 1, 35.00
5.26.19, 3, 3, 125, 1, 41.67
5.26.19, 4, 3, 140, 1, 46.67
5.26.19, 4, 3, 100, 2, 30.33
5.26.19, 5, 3, 100, 1, 30.33
5.26.19, 5, 3, 130, 2, 43.33
5.26.19, 6, 3, 135, 1, 45.00
5.27.19, 1, 3, 180, 1, 60.00
5.27.19, 1, 3, 130, 2, 43.33
5.27.19, 2, 3, 110, 1, 36.67
5.27.19, 3, 3, 130, 1, 43.33
5.27.19, 4, 3, 110, 1, 36.67
5.27.19, 5, 3, 110, 1, 36.67
5.27.19, 6, 3, 120, 1, 40.00
5.28.19, 1, 3, 120, 1, 40.00
5.28.19, 2, 3, 105, 1, 35.00
5.28.19, 3, 3, 140, 1, 46.67
5.28.19, 3, 3, 105, 2, 35.00
5.28.19, 4, 3, 120, 1, 40.00
5.28.19, 5, 3, 105, 1, 35.00
5.28.19, 6, 3, 120, 1, 40.00
5.29.19, 1, 3, 105, 1, 35.00
5.29.19, 2, 3, 115, 1, 38.33
5.29.19, 3, 3, 120, 1, 40.00
5.29.19, 4, 3, 100, 1, 33.33
5.29.19, 5, 3, 105, 1, 35.00
5.29.19, 6, 3, 115, 1, 38.33
5.30.19, 1, 3, 60, 1, 20.00
5.30.19, 1, 3, 170, 2, 56.67
5.30.19, 1, 3, 110, 3, 36.67
5.30.19, 2, 3, 100, 1, 33.33
5.30.19, 3, 3, 115, 1, 38.33
5.30.19, 4, 3, 80, 1, 26.67
5.30.19, 4, 3, 100, 2, 33.33
5.30.19, 5, 3, 105, 1, 35.00
5.30.19, 6, 3, 100, 1, 33.33
5.31.19, 1, 3, 100, 1, 33.33
5.31.19, 2, 3, 105, 1, 35.00
5.31.19, 3, 3, 100, 1, 33.33
5.31.19, 4, 3, 115, 1, 38.33
5.31.19, 5, 3, 105, 1, 35.00
5.31.19, 6, 3, 105, 1, 35.00
6.01.19, 1, 3, 100, 1, 33.33
6.01.19, 2, 3, 95, 1, 31.67
6.01.19, 3, 3, 95, 1, 31.67
6.01.19, 4, 3, 110, 1, 36.67
6.01.19, 5, 3, 100, 1, 33.33
6.01.19, 6, 3, 100, 1, 33.33
6.02.19, 1, 3, 75, 1, 25.00
6.02.19, 2, 3, 90, 1, 30.00
6.02.19, 3, 3, 90, 1, 30.00
6.02.19, 4, 3, 85, 1, 28.33
6.02.19, 5, 3, 90, 1, 30.00
6.02.19, 6, 3, 95, 1, 31.67
6.03.19, 1, 3, 105, 1, 35.00
6.03.19, 2, 3, 95, 1, 31.67
6.03.19, 3, 3, 110, 1, 36.67
6.03.19, 4, 3, 105, 1, 35.00
6.03.19, 5, 3, 90, 1, 30.00
6.03.19, 6, 3, 100, 1, 33.33
6.04.19, 1, 3, 75, 1, 25.00
6.04.19, 2, 3, 65, 1, 21.67
6.04.19, 3, 3, 60, 1, 20.00
6.04.19, 4, 3, 60, 1, 20.00
6.04.19, 5, 3, 75, 1, 25.00
6.04.19, 6, 3, 65, 1, 21.67
6.05.19, 1, 3, 75, 1, 25.00
6.05.19, 2, 3, 75, 1, 25.00
6.05.19, 3, 3, 75, 1, 25.00
6.05.19, 4, 3, 65, 1, 21.67
6.05.19, 5, 3, 75, 1, 25.00
6.05.19, 6, 3, 85, 1, 28.33
6.06.19, 1, 3, 65, 1, 21.67
6.06.19, 2, 3, 75, 1, 25.00
6.06.19, 3, 3, 80, 1, 26.67
6.06.19, 4, 3, 75, 1, 25.00
6.06.19, 5, 3, 80, 1, 26.67
6.06.19, 6, 3, 85, 1, 28.33
6.07.19, 1, 3, 85, 1, 28.33
6.07.19, 2, 3, 65, 1, 21.67
6.07.19, 3, 3, 70, 1, 23.33
6.07.19, 4, 3, 70, 1, 23.33
6.07.19, 5, 3, 80, 1, 26.67
6.07.19, 6, 3, 85, 1, 28.33
